label,degree,weighted_degree,betweenness,normalized_betweenness,eccentricity,closeness,network
Narcissa Malfoy,5,6,0.4523809523809523,0.0003846776805960479,3,0.4757281553398058,harry_potter_and_the_deathly_hallows_part_2
Albus Potter,2,2,0.0,0.0,3,0.4757281553398058,harry_potter_and_the_deathly_hallows_part_2
Helena Ravenclaw,1,1,0.0,0.0,3,0.4711538461538461,harry_potter_and_the_deathly_hallows_part_2
All,4,4,0.0,0.0,3,0.4545454545454545,harry_potter_and_the_chamber_of_secrets
Pomona Sprout,4,4,0.0,0.0,3,0.4545454545454545,harry_potter_and_the_chamber_of_secrets
Tom Riddle,3,5,2.504761904761905,0.0035629614576983,3,0.4470588235294118,harry_potter_and_the_half-blood_prince
Filius Flitwick,3,3,0.0,0.0,3,0.4239130434782609,harry_potter_and_the_prisoner_of_azkaban
Sorting Hat,3,3,0.0,0.0,3,0.4188034188034188,harry_potter_and_the_deathly_hallows_part_2
Arthur Weasley,3,3,0.0,0.0,3,0.4188034188034188,harry_potter_and_the_deathly_hallows_part_2
Narcissa Malfoy,2,2,0.0,0.0,4,0.4130434782608696,harry_potter_and_the_half-blood_prince
James Potter,3,3,0.0,0.0,3,0.41,harry_potter_and_the_goblet_of_fire
Lily Potter,3,3,0.0,0.0,3,0.41,harry_potter_and_the_goblet_of_fire
Dean Thomas,1,1,0.0,0.0,4,0.4,harry_potter_and_the_half-blood_prince
Centaur,3,3,0.0,0.0,3,0.3867924528301887,harry_potter_and_the_goblet_of_fire
Mrs. Cole,2,2,0.0,0.0,3,0.3838383838383838,harry_potter_and_the_half-blood_prince
Gang thug,1,1,0.0,0.0,4,0.3828125,harry_potter_and_the_deathly_hallows_part_2
Nymphadora Tonks,3,3,0.0,0.0,3,0.3828125,harry_potter_and_the_deathly_hallows_part_2
Kingsley Shacklebolt,3,3,0.0,0.0,3,0.3828125,harry_potter_and_the_deathly_hallows_part_2
Petunia Dursley,3,3,0.0,0.0,4,0.3798449612403101,harry_potter_and_the_deathly_hallows_part_2
